CHROM	GENPOS	ID	ALLELE0	ALLELE1	A1FREQ	INFO	N	TEST	BETA	SE	CHISQ	LOG10P	EXTRA	Protein_name	SNP
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502383	0.99702	33988	ADD	-0.000134595	0.00727578	0.000342214	0.00645763	NA	TNFRSF4	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.50264	0.997337	33962	ADD	0.00975297	0.00735881	1.75654	0.732696	NA	TNFRSF8	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502976	0.997757	33436	ADD	0.00571269	0.00723913	0.622743	0.366501	NA	TNFRSF9	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.503001	0.996973	33848	ADD	0.00597692	0.00693199	0.743428	0.410536	NA	TNFSF13	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.50255	0.996646	34023	ADD	0.00766923	0.00700022	1.20027	0.563412	NA	TNFSF13B	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502976	0.997757	33436	ADD	0.0109605	0.00741996	2.18201	0.855016	NA	TNFSF14	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502355	0.996936	33924	ADD	-0.00397257	0.00730514	0.295724	0.231676	NA	TNFSF8	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502641	0.997529	33657	ADD	0.0012072	0.00738562	0.0267169	0.0604001	NA	TRIM21	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502783	0.996061	33335	ADD	-0.00314521	0.00767944	0.167741	0.166134	NA	TXK	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502717	0.997906	33043	ADD	0.00741808	0.00770411	0.927124	0.474163	NA	VIM	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502838	0.996128	33042	ADD	-0.0144986	0.00772474	3.52279	1.21803	NA	VIPR1	rs6532086
4	76016125	4:76937278:G:A:imp:v1	G	A	0.502841	0.998578	32907	ADD	0.00879688	0.00722362	1.48302	0.651107	NA	ZBTB16	rs6532086
