Gene	SeqId	Protein..short.name.	UniProt	Ensembl.Gene.ID	Chr	Start	End
ADAMTS6	6441_62	ATS6	Q9UKP5	ENSG00000049192	5	65148735	65481920
ADAMTSL1	16890_37	ATL1	Q8N6G6	ENSG00000178031	9	17906562	18910950
ADAMTSL2	6379_62	ATL2	Q86TH1	ENSG00000197859	9	133532163	133575519
ADCK4	9794_17	ADCK4	Q96D53	ENSG00000123815	19	40691514	40725784
ADCYAP1	8450_36	PACAP-38	P18509	ENSG00000141433	18	904942	912172
ADCYAP1	8446_4	PACAP-27	P18509	ENSG00000141433	18	904942	912172
ADCYAP1	8285_64	PACA	P18509	ENSG00000141433	18	904942	912172
ADGRE2	4546_27	EMR2	Q9UHX3	ENSG00000127507	19	14732392	14778560
ADGRF1	11243_90	GPR110	Q5T601	ENSG00000153292	6	46997708	47042350
ADGRF5	6409_57	GP116	Q8IZF2	ENSG00000069122	6	46852522	46954943
ADGRG5	4551_72	GP114	Q8IZF4	ENSG00000159618	16	57542643	57591681
ADH1A	17396_23	ADH1A	P07327	ENSG00000187758	4	99276366	99291028
ADH1B	9834_62	ADH1B	P00325	ENSG00000196616	4	99304963	99352760
ADH1C	15525_294	ADH1G	P00326	ENSG00000196616	4	99336491	99353027
ADH4	8325_37	ADH4	P08319	ENSG00000198099	4	99123656	99157792
ADH5	11369_23	ADHX	P11766	ENSG00000197894	4	99070977	99088801
ADH6	18206_18	ADH6	P28332	ENSG00000172955	4	99202637	99219537
ADH7	11377_19	ADH7	P40394	ENSG00000196344	4	99412260	99435737
ADI1	12457_10	MTND	Q9BV57	ENSG00000182551	2	3497360	3519736
ADIPOQ	3554_24	Adiponectin	Q15848	ENSG00000181092	3	186842689	186858463
ADK	19207_119	ADK	P55263	ENSG00000156110	10	74151184	74709303
ADM	7922_5	Adrenomedullin	P35318	ENSG00000148926	11	10304679	10307397
ADM	14115_34	Adrenomedullin	P35318	ENSG00000148926	11	10304679	10307397
ADM2	8100_15	ADM2	Q7Z4H4	ENSG00000128165	22	50481555	50486440
ADPGK	6221_1	ADPGK	Q9BRR6	ENSG00000159322	15	72751368	72785846
ADPRH	18395_5	ADPRH	P54922	ENSG00000144843	3	119579267	119589945
ADPRHL2	17332_3	ARHL2	Q9NX46	ENSG00000116863	1	36088874	36093932
ADRBK1	3347_9	BARK1	P25098	ENSG00000173020	11	67266473	67286556
ADRM1	9057_19	ADRM1	Q16186	ENSG00000130706	20	62302092	62308862
ADSL	5023_23	PUR8	P30566	ENSG00000239900	22	40346499	40390463
ADSS	12644_63	PURA2	P30520	ENSG00000035687	1	244408493	244452134
ADSSL1	13998_26	PURA1	Q8N142	ENSG00000185100	14	104724185	104747325
AES	18396_10	AES	Q08117	ENSG00000104964	19	3052909	3063107
AFAP1L1	9889_42	AF1L1	Q8TED9	ENSG00000157510	5	149271870	149341802
AFM	4763_31	Afamin	P43652	ENSG00000079557	4	73481682	73504001
AFP	5792_8	AFP	P02771	ENSG00000081051	4	73431137	73456174
AGA	10435_2	ASPG	P20933	ENSG00000038002	4	177430769	177442503
AGAP2	14291_53	AGAP2	Q99490	ENSG00000135439	12	57723760	57742157
AGAP3	13960_15	AGAP3	Q96P47	ENSG00000133612	7	151085830	151144436
AGER	4125_52	sRAGE	Q15109	ENSG00000229058	6	32180967	32184324
AGFG1	11681_8	NUPL	P52594	ENSG00000173744	2	227472151	227561214
AGGF1	8051_10	AGGF1	Q8N302	ENSG00000164252	5	77029250	77065234
AGO1	15312_14	AGO1	Q9UL18	ENSG00000092847	1	35869807	35930528
AGO3	15323_112	AGO3	Q9H9G7	ENSG00000126070	1	35930717	36072500
AGR2	4959_2	AGR2	O95994	ENSG00000106541	7	16791810	16833433
AGR3	17342_13	AGR3	Q8TD06	ENSG00000173467	7	16859404	16881987
AGRN	15483_377	Agrin	O00468	ENSG00000188157	1	1020122	1056118
AGRP	2813_11	ART	O00253	ENSG00000159723	16	67482570	67483813
AGT	3484_60	Angiotensinogen	P01019	ENSG00000135744	1	230702522	230714297
AHCYL1	12652_37	SAHH2	O43865	ENSG00000168710	1	109984685	110023741
AHSA1	11633_89	AHSA1	O95433	ENSG00000100591	14	77457869	77469474
AHSG	3581_53	a2-HS-Glycoprotein	P02765	ENSG00000145192	3	186612922	186621318
AHSP	9025_5	AHSP	Q9NZD4	ENSG00000169877	16	31527863	31528803
AIDA	17347_80	CA080	Q96BJ3	ENSG00000186063	1	222668012	222713210
AIF1	2849_49	AIF1	P55008	ENSG00000235588	6	31615183	31617021
AIF1L	18871_24	AIF1L	Q9BQI0	ENSG00000126878	9	131096475	131123152
AIFM1	9522_3	AIF	O95831	ENSG00000156709	X	130124666	130165879
AIMP1	2714_78	EMAP-2	Q12904	ENSG00000164022	4	106315543	106349226
AIP	3839_60	AIP	O00170	ENSG00000110711	11	67483040	67491103
AK1	5012_67	"Myokinase, human"	P00568	ENSG00000106992	9	127866479	127877743
AK2	11368_32	KAD2	P54819	ENSG00000004455	1	33007939	33080996
AK4	17432_25	KAD4	P27144	ENSG00000162433	1	65147548	65232145
AK5	13613_23	Adenylate kinase isoenzyme 5	Q9Y6K8	ENSG00000154027	1	77282050	77559969
AKAP7	18399_1	AKA7A	O43687	ENSG00000118507	6	131135665	131283535
AKR1A1	4192_10	AK1A1	P14550	ENSG00000117448	1	45550542	45570049
AKR1B1	16606_85	Aldose reductase	P15121	ENSG00000085662	7	134442349	134459284
AKR1B10	16081_38	Aldose reductase-like	O60218	ENSG00000198074	7	134527591	134541408
AKR1C1	12618_50	Aldo-keto reductase 1C1	Q04828	ENSG00000187134	10	4963252	4983283
AKR1C3	17377_1	Aldose reductase-like C3	P42330	ENSG00000196139	10	5035353	5107686
AKR1C4	18397_5	AK1C4	P17516	ENSG00000198610	10	5195461	5218949
AKR1D1	18398_1	AK1D1	P51857	ENSG00000122787	7	138002323	138117986
AKR7A2	4188_1	Aflatoxin B1 aldehyde reductase	O43488	ENSG00000053371	1	19303964	19312146
AKR7A3	18173_11	ARK73	O95154	ENSG00000162482	1	19282557	19289250
AKT1	15627_83	PKB	P31749	ENSG00000142208	14	104769348	104795751
AKT1|AKT2|AKT3	3392_68	PKB a/b/g	P31749|P31751|Q9Y243	ENSG00000117020	1	243488233	243851079
AKT2	14685_17	PKB beta	P31751	ENSG00000105221	19	40230316	40285536
AKT2	5360_9	PKB beta	P31751	ENSG00000105221	19	40230316	40285536
ALAD	15523_9	HEM2	P13716	ENSG00000148218	9	113386316	113401333
ALB	18380_78	Albumin	P02768	ENSG00000163631	4	73397113	73421412
ALCAM	5451_1	ALCAM	Q13740	ENSG00000170017	3	105366908	105576900
ALDH1A1	11265_8	Retinal dehydrogenase 1	P00352	ENSG00000165092	9	72900661	73080442
ALDH1A3	9835_16	AL1A3	P47895	ENSG00000184254	15	100877713	100916626
ALDH2	18381_16	ALDH-E2	P05091	ENSG00000111275	12	111766886	111817529
ALDH3A1	11480_1	"Aldehyde dehydrogenase, class 3"	P30838	ENSG00000108602	17	19737983	19748943
ALDH5A1	17792_158	SSDH	P51649	ENSG00000112294	6	24494851	24537207
ALDH6A1	19136_22	MMSA	Q02252	ENSG00000119711	14	74056849	74084493
ALDOA	5864_10	aldolase A	P04075	ENSG00000149925	16	30053089	30070457
ALDOB	18185_118	ALDOB	P05062	ENSG00000136872	9	101420577	101435823
ALDOC	9876_20	aldolase C	P09972	ENSG00000109107	17	28573114	28577264
ALK	8249_124	ALK	Q9UM73	ENSG00000171094	2	29192773	29921566
ALKBH2	18400_52	ALKB2	Q6NS38	ENSG00000189046	12	109088187	109093631
ALKBH3	18401_18	ALKB3	Q96Q83	ENSG00000166199	11	43880810	43920266
ALOX15B	12422_143	LX15B	O15296	ENSG00000179593	17	8039016	8049134
ALPI	17441_4	"Alkaline phosphatase, intestine"	P09923	ENSG00000163295	2	232456122	232460032
ALPL	16926_44	"Alkaline phosphatase, liver"	P05186	ENSG00000162551	1	21509371	21578412
ALPP	7813_6	"Alkaline phosphatase, placental"	P05187	ENSG00000163283|ENSG00000163286	2	232378533	232382889
ALPPL2	6706_18	PPBN	P10696	ENSG00000163286	2	232406842	232410714
ALPPL2	6715_63	PPBN	P10696	ENSG00000163286	2	232406842	232410714
AMBP	15453_3	a1-Microglobulin	P02760	ENSG00000106927	9	114060126	114078472
AMH	4923_79	MIS	P03971	ENSG00000104899	19	2249308	2252073
AMICA1	5094_62	JAML1	Q86YT9	ENSG00000160593	11	118193725	118225092
AMIGO1	9979_13	AMGO1	Q86WK6	ENSG00000181754	1	109504174	109509738
AMIGO2	14134_49	AMGO2	Q86SJ2	ENSG00000139211	12	47075706	47079951
AMMECR1L	18402_1	AMERL	Q6DCA0	ENSG00000144233	2	127861629	127885922
AMN	4322_28	AMNLS	Q9BXJ7	ENSG00000166126	14	102922655	102933596
AMPD2	18403_25	AMPD2	Q01433	ENSG00000116337	1	109616103	109632051
AMY1A	7918_114	"Amylase, alpha 1A"	P04745	ENSG00000237763	1	103655289	103664554
AMY2A	18917_53	Pancreatic alpha-amylase	P04746	ENSG00000243480	1	103616810	103625780
AMY2B	15556_49	Alpha-amylase 2B	P19961	ENSG00000240038	1	103553814	103579534
ANAPC10	12345_4	APC10	Q9UM13	ENSG00000164162	4	144831907	145098541
ANAPC7	11690_47	APC7	Q9UJX3	ENSG00000196510	12	110372899	110403730
ANG	4874_3	Angiogenin	P03950	ENSG00000214274	14	20684176	20698971
ANGPT1	2811_27	Angiopoietin-1	Q15389	ENSG00000154188	8	107249481	107498055
ANGPT2	2602_2	Angiopoietin-2	O15123	ENSG00000091879	8	6499650	6563409
ANGPT4	2500_2	Angiopoietin-4	Q9Y264	ENSG00000101280	20	869898	916317
ANGPTL1	9092_33	ANGL1	O95841	ENSG00000116194	1	178849704	178871052
ANGPTL1	11142_11	ANGL1	O95841	ENSG00000116194	1	178849704	178871052
ANGPTL3	10391_1	ANGL3	Q9Y5C1	ENSG00000132855	1	62597486	62606159
ANGPTL4	3796_79	ANGL4	Q9BY76	ENSG00000167772	19	8363288	8374373
ANGPTL7	6371_50	ANGL7	O43827	ENSG00000171819	1	11189340	11195981
ANK2	7624_19	ANK2	Q01484	ENSG00000145362	4	112818108	113383740
ANKRD1	15361_37	ANKR1	Q15327	ENSG00000148677	10	90912095	90921276
ANKRD27	12445_50	ANR27	Q96NW4	ENSG00000105186	19	32597006	32676597
ANKRD46	7851_30	ANR46	Q86W74	ENSG00000186106	8	100509751	100559784
ANKRD54	18404_22	ANR54	Q6NXT1	ENSG00000100124	22	37830854	37849327
ANP32A	13073_14	AN32A	P39687	ENSG00000140350	15	68778534	68820897
ANP32B	4194_26	AN32B	Q92688	ENSG00000136938	9	97983360	98015943
ANPEP	15457_14	Aminopeptidase N	P15144	ENSG00000166825	15	89784888	89815401
ANTXR1	10464_6	ANTR1	Q9H6X2	ENSG00000169604	2	69013177	69249327
ANTXR2	15559_5	ANTR2	P58335	ENSG00000163297	4	79901148	80125454
ANXA1	4960_72	annexin I	P04083	ENSG00000135046	9	73151756	73170393
ANXA10	13605_16	ANX10	Q9UJ72	ENSG00000109511	4	168092514	168187690
ANXA11	17513_11	ANX11	P50995	ENSG00000122359	10	80150888	80205572
ANXA13	17835_28	ANX13	P27216	ENSG00000104537	8	123680793	123737407
ANXA2	4961_17	annexin II	P07355	ENSG00000182718	15	60347133	60402883
ANXA2	13700_10	annexin II	P07355	ENSG00000182718	15	60347133	60402883
ANXA3	17163_117	Annexin III	P12429	ENSG00000138772	4	78551518	78610451
ANXA4	17164_15	annexin IV	P09525	ENSG00000196975	2	69644424	69827100
ANXA5	14158_17	Annexin V	P08758	ENSG00000164111	4	121667954	121697113
ANXA6	5335_73	annexin VI	P08133	ENSG00000197043	5	151100711	151157882
ANXA7	18244_1	ANXA7	P20073	ENSG00000138279	10	73375100	73414076
ANXA7	14203_3	ANXA7	P20073	ENSG00000138279	10	73375100	73414076
ANXA8	18290_6	Annexin A8	P13928	ENSG00000165390	10	47460161	47484158
ANXA9	13588_11	ANXA9	O76027	ENSG00000143412	1	150982016	150995634
AOC1	15486_126	ABP1	P19801	ENSG00000002726	7	150824626	150861504
AOC2	6434_18	Amine oxidase	O75106	ENSG00000131480	17	42844599	42850707
AP1G2	12714_38	AP1G2	O75843	ENSG00000213983	14	23559564	23568070
AP1S2	18405_117	AP1S2	P56377	ENSG00000182287	X	15825806	15854931
AP2A2	13621_31	AP2A2	O94973	ENSG00000183020	11	924893	1012245
AP4M1	10076_1	AP4M1	O00189	ENSG00000221838	7	100101548	100110345
APAF1	13583_19	Apaf-1	O14727	ENSG00000120868	12	98645140	98735433
APBB1	12822_34	APBB1	O00213	ENSG00000166313	11	6395123	6419414
APBB1	14206_28	APBB1	O00213	ENSG00000166313	11	6395123	6419414
APBB2	12753_6	APBB2	Q92870	ENSG00000163697	4	40810026	41216714
APBB2	12761_12	APBB2	Q92870	ENSG00000163697	4	40810026	41216714
APBB3	12784_10	APBB3	O95704	ENSG00000113108	5	140558267	140564781
APBB3	13589_10	APBB3	O95704	ENSG00000113108	5	140558267	140564781
APCDD1	6599_5	APCD1	Q8J025	ENSG00000154856	18	10454627	10489948
APCS	2474_54	SAP	P02743	ENSG00000132703	1	159587824	159588865
APEX1	9849_13	APEX1	P27695	ENSG00000100823	14	20455190	20457772
APLN	6622_90	APEL	Q9ULZ1	ENSG00000171388	X	129645259	129654956
APLP1	7210_25	Amyloid-like protein 1	P51693	ENSG00000105290	19	35867898	35879791
APLP2	10627_87	APLP2	Q06481	ENSG00000084234	11	130069836	130144811
APMAP	10605_22	APMAP	Q9HDC9	ENSG00000101474	20	24962924	24992979
APOA1	2750_3	Apo A-I	P02647	ENSG00000118137	11	116835750	116837950
APOA1BP	16621_77	AIBP	Q8NCW5	ENSG00000163382	1	156591756	156609507
APOA2	7127_3	Apo A-II	P02652	ENSG00000158874	1	161222291	161223631
APOA4	17685_9	Apo A-IV	P06727	ENSG00000110244	11	116820699	116823306
APOA5	15363_32	Apo A-V	Q6Q788	ENSG00000110243	11	116789366	116792420
APOB	2797_56	Apo B	P04114	ENSG00000084674	2	21001428	21044073
APOBEC3G	13930_3	ABC3G	Q9HC16	ENSG00000239713	22	39077004	39087743
APOC1	15364_101	Apo C-I	P02654	ENSG00000130208	19	44914246	44919349
APOC2	6350_43	Apo C-II	P02655	ENSG00000234906	19	44945981	44949565
APOC3	6461_54	Apo C-III	P02656	ENSG00000110245	11	116829705	116833072
APOD	4712_28	Apo D	P05090	ENSG00000189058	3	195568701	195584205
APOE	2418_55	Apo E	P02649	ENSG00000130203	19	44905753	44909393
APOF	12370_30	Apo F	Q13790	ENSG00000175336	12	56360568	56362823
APOH	8288_27	b2-Glycoprotein I	P02749	ENSG00000091583	17	66212032	66256525
APOL1	11510_31	Apo L1	O14791	ENSG00000100342	22	36253009	36267530
APOL1	9506_10	Apo L1	O14791	ENSG00000100342	22	36253009	36267530
APOL3	16823_75	APOL3	O95236	ENSG00000128284	22	36140329	36166177
APOM	10445_20	ApoM	O95445	ENSG00000226215	6	31652415	31658210
APP	3171_57	amyloid precursor protein	P05067	ENSG00000142192	21	25880549	26171128
APPL1	12825_18	DP13A	Q9UKG1	ENSG00000157500	3	57227736	57273468
APRT	10088_37	APT	P07741	ENSG00000198931	16	88809338	88811944
APTX	17736_105	APTX	Q7Z2E3	ENSG00000137074	9	32972605	33025168
AQP4	11363_58	AQP4	P55087	ENSG00000171885	18	26852037	26865818
ARAF	12583_77	ARAF	P10398	ENSG00000078061	X	47561205	47571908
AREG	2970_60	AREG	P15514	ENSG00000109321	4	74445133	74455009
ARF1	19239_5	ARF1	P84077	ENSG00000143761	1	228082659	228099212
ARF3	12578_13	ARF3	P61204	ENSG00000134287	12	48935722	48957551
ARF4	18408_26	ARF4	P18085	ENSG00000168374	3	57571362	57598220
ARF5	18409_61	ARF5	P84085	ENSG00000004059	7	127588344	127591705
ARF6	12425_104	ARF6	P62330	ENSG00000165527	14	49893091	49897054
ARFGAP1	11556_19	ARFG1	Q8N6T3	ENSG00000101199	20	63272784	63289793
ARFGAP2	11664_32	ARFG2	Q8N6H7	ENSG00000149182	11	47164298	47177125
ARFIP1	13488_3	ARFP1	P53367	ENSG00000164144	4	152779936	152918463
ARFIP2	12630_8	ARFP2	P53365	ENSG00000132254	11	6474682	6481479
ARG1	5867_60	ARGI1	P05089	ENSG00000118520	6	131573143	131584332
ARG2	17752_24	Arginase	P78540	ENSG00000081181	14	67619797	67651720
ARHGAP1	11955_1	RHG01	Q07960	ENSG00000175220	11	46677079	46700615
ARHGAP1	9815_5	RHG01	Q07960	ENSG00000175220	11	46677079	46700615
ARHGAP25	11333_82	RHG25	P42331	ENSG00000163219	2	68679600	68826833
ARHGAP30	12807_89	RHG30	Q7Z6I6	ENSG00000186517	1	161046945	161069970
ARHGAP36	6289_78	RHG36	Q6ZRI8	ENSG00000147256	X	131058346	131089885
ARHGAP5	14748_31	RHG05	Q13017	ENSG00000100852	14	32076113	32159728
ARHGDIA	6454_38	Rho-GDIa	P52565	ENSG00000141522	17	81867720	81871406
ARHGDIB	9846_32	Rho-GDI beta	P52566	ENSG00000111348	12	14942016	14961728
ARHGEF1	13976_9	ARHG1	Q92888	ENSG00000076928	19	41883160	41930150
ARHGEF10	9061_3	ARHGA	O15013	ENSG00000104728	8	1823975	1958641
ARHGEF2	12848_9	ARHG2	Q92974	ENSG00000116584	1	155946850	156007070
ARHGEF25	13519_112	ARHGP	Q86VW2	ENSG00000240771	12	57610179	57619379
ARHGEF7	13932_45	COOL-1	Q14155	ENSG00000102606	13	111114558	111305737
ARID1A	9898_161	ARI1A	O14497	ENSG00000117713	1	26693235	26782104
ARID3A	3875_62	ARI3A	Q99856	ENSG00000116017	19	925780	975934
ARL1	12392_30	ARL1	P40616	ENSG00000120805	12	101393119	101407820
ARL11	12433_8	ARL11	Q969Q4	ENSG00000152213	13	49628298	49633872
ARL14	18410_26	ARL14	Q8N4G2	ENSG00000179674	3	160677158	160678452
ARL15	18411_83	ARL15	Q9NXU5	ENSG00000185305	5	53883944	54310582
ARL2	12587_65	ARL2	P36404	ENSG00000213465	11	65014112	65022184
ARL2BP	18407_36	AR2BP	Q9Y2Y0	ENSG00000102931	16	57245097	57253635
ARL3	12571_14	ARL3	P36405	ENSG00000138175	10	102673730	102714407
ARL4D	18413_24	ARL4D	P49703	ENSG00000175906	17	43398958	43401137
ARL5A	18414_26	ARL5A	Q9Y689	ENSG00000162980	2	151788983	151828492
ARL5B	17404_5	ARL5B	Q96KC2	ENSG00000165997	10	18659404	18681639
ARL6	18415_16	ARL6	Q9H0F7	ENSG00000113966	3	97764520	97801242
ARL6IP5	13503_19	PRAF3	O75915	ENSG00000144746	3	69084943	69106066
ARL8B	8569_147	ARL8B	Q9NVJ2	ENSG00000134108	3	5122219	5180912
ARL9	18416_3	ARL9	Q6T311	ENSG00000196503	4	56505208	56524448
ARMC10	9107_59	ARM10	Q8N2F6	ENSG00000170632	7	103074880	103099764
ARMC5	8785_1	ARMC5	Q96C12	ENSG00000140691	16	31458079	31467166
ARPC1B	12689_56	ARC1B	O15143	ENSG00000130429	7	99374248	99394801
ARPC3	13573_5	p21-ARC	O15145	ENSG00000111229	12	110434824	110450422
ARPC5	18419_20	p16-ARC	O15511	ENSG00000162704	1	183620845	183635757
ARPP19	4963_19	ARP19	P56211	ENSG00000128989	15	52547044	52569883
ARPP21	12860_7	cAMP-regulated phosphoprotein 21	Q9UBL0	ENSG00000172995	3	35638944	35794496
ARRB1	12643_4	ARRB1	P49407	ENSG00000137486	11	75264181	75351705
ARRDC3	12352_70	ARRD3	Q96B67	ENSG00000113369	5	91368723	91383359
ARSA	3583_54	Arylsulfatase A	P15289	ENSG00000100299	22	50622753	50628173
ARSB	3172_28	ARSB	P15848	ENSG00000113273	5	78777208	78986087
ARSK	8269_327	ARSK	Q6UWY0	ENSG00000164291	5	95555073	95605064
ART3	7970_315	NAR3	Q13508	ENSG00000156219	4	76011183	76112802
ART4	6576_1	ART4	Q93070	ENSG00000111339	12	14825568	14843495
ARTN	2939_10	Artemin	Q5T4W7	ENSG00000117407	1	43933319	43937241
AS3MT	18417_3	AS3MT	Q9HBK9	ENSG00000214435	10	102869515	102901899
ASAH1	5748_20	Acid ceramidase	Q13510	ENSG00000104763	8	18055991	18084998
ASAH2	3212_30	ASAH2	Q9NR71	ENSG00000188611	10	50182777	50248610
ASAP2	13518_5	ASAP2	O43150	ENSG00000151693	2	9206764	9405683
ASB9	19601_15	ASB9	Q96DX5	ENSG00000102048	X	15235288	15270467
ASCC1	10647_18	ASCC1	Q8N9N2	ENSG00000138303	10	72096031	72217134
ASF1A	18172_71	ASF1A	Q9Y294	ENSG00000111875	6	118894219	118909167
ASGR1	5452_71	ASGR1	P07306	ENSG00000141505	17	7173430	7179564
ASGR2	9474_22	ASGR2	P07307	ENSG00000161944	17	7101321	7115700
ASH1L	12622_96	ASH1L	Q9NR48	ENSG00000116539	1	155335267	155562807
ASH2L	12832_10	ASH2L	Q9UBL3	ENSG00000129691	8	38105241	38144076
ASIC4	6951_26	ASIC4	Q96FT7	ENSG00000072182	2	219514169	219538772
